"","Observed"
"1",0.240747243620383
"2",0.72467352675164
"3",-0.212659885028942
"4",0.0497274868166401
"5",-0.925619895632288
"6",0.831773685980807
"7",3.64507276810459
"8",-0.0367944200095636
"9",0.309293316708951
"10",-3.75423783094507
"11",1.35375577152222
"12",3.70446496810577
"13",1.94809156829597
"14",1.93810721971923
"15",-0.716916304231414
"16",-4.27520449371476
"17",-4.90162866176556
"18",3.86323684378681
"19",0.394242875753767
"20",-2.45389493086984
"21",0.661001287787018
"22",1.3821075529345
"23",3.09623519668206
"24",2.23528876287016
"25",2.21468927074642
"26",-0.0492009389419972
"27",-1.81705584659963
"28",-4.42207355893835
"29",-0.475955286368702
"30",-1.92874050588458
"31",-0.443045662107716
"32",0.967427768481707
"33",-1.9124722451346
"34",-1.60091774973447
"35",0.248754547342005
"36",-1.16318877290453
"37",1.80560602299109
"38",-1.0163608454922
"39",-1.01702393011195
"40",1.72477753983505
"41",0.264738945561995
"42",1.12532099352251
"43",2.46820207976063
"44",-0.435703075211861
"45",-0.714427488222152
"46",0.296368175651045
"47",-0.717898837705677
"48",1.21236395161106
"49",-0.663515114893455
"50",-1.29093241229432
"51",-0.393573441387814
"52",-2.19968610280874
"53",-1.91645159449031
"54",-1.7975182499883
"55",-0.0547319813516287
"56",0.35785223119423
"57",-3.74311644256414
"58",0.448456682736973
"59",-2.09740137196783
"60",0.956579569764607
"61",0.0488037567978059
"62",-1.80948370649309
"63",-0.60092018595045
"64",-1.62259797900305
"65",-0.338140525576387
"66",-0.723514497234534
"67",-2.20592053212095
"68",-1.6322229453952
"69",1.45328529079905
"70",1.34717016639787
"71",-0.803576588635189
"72",0.130719365582149
"73",-0.155392218990889
"74",-0.52955052878765
"75",-0.697418248475035
"76",-1.72608865493222
"77",0.69653322723556
"78",-3.27328390376109
"79",-1.79032433833002
"80",0.380024839109348
"81",-2.27381362490069
"82",-0.59154445529895
"83",0.0707455982616226
"84",-0.18232248036626
"85",-2.12512198426835
"86",-0.714005347618431
"87",-0.121512320831642
"88",-0.0490569141805219
"89",-1.60871469060171
"90",0.97895366684439
"91",-5.46241178790582
"92",0.483712513633941
"93",1.21970876212596
"94",-1.60422392076275
"95",0.039134283688
"96",-2.19292249083744
"97",-2.63044831392639
"98",-1.49808543979679
"99",-0.5132262340719
"100",-1.29439370080661
"101",-2.46602879987398
"102",-0.0299880154119337
"103",-2.3329752230576
"104",2.09544588861291
"105",-1.23389932737998
"106",-1.79675734467871
"107",-0.247888506511515
"108",0.153720182957856
"109",0.373945262745572
